object_name,luminosity,star_color,koi_pdisposition,koi_disposition
OBJECT NAME WASN'T RECORDED,6.707495124558161e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,2.6112387870061806e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-1479 b,3.890189931552003e+26,Yellow-white,CANDIDATE,CONFIRMED
Kepler-937 c,5.668976277827898e+26,Yellow-white,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,1.1178606891596066e+26,Yellow,CANDIDATE,CANDIDATE
OBJECT NAME WASN'T RECORDED,3.890189931552003e+26,Yellow-white,CANDIDATE,CANDIDATE
OBJECT NAME WASN'T RECORDED,3.419706190306011e+27,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
Kepler-1498 b,5.885148134814014e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,2.2306237356671438e+26,Yellow,CANDIDATE,CANDIDATE
OBJECT NAME WASN'T RECORDED,1.6454611325742995e+27,Orange,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,4.454621552315965e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,1.491578248076323e+28,White,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,1.7900000517051562e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,5.175750723892202e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,2.9104754125523495e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-1526 b,6.127409086284248e+25,Orange,CANDIDATE,CONFIRMED
Kepler-359 d,5.7096698835626104e+26,Yellow-white,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,6.593932190669521e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,3.849257468143951e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,2.8134883548464468e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,3.147586138652018e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,9.97043651099233e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
Kepler-342 e,1.0162657208074593e+27,Yellow-white,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,2.036944109358717e+27,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,4.022424097608836e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,1.62778421293867e+28,Orange,FALSE POSITIVE,FALSE POSITIVE
Kepler-348 c,1.1288110821949347e+27,Yellow-white,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,3.849257468143951e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,7.349640965648792e+25,Orange,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,3.849257468143951e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,3.849257468143951e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,9.728248513748511e+25,Orange,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,2.655582899581437e+27,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,1.8050274538807052e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,2.7238839738744868e+26,Yellow,CANDIDATE,CANDIDATE
OBJECT NAME WASN'T RECORDED,4.353822391413423e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
Kepler-154 b,3.403630588880621e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,6.965971680254699e+25,Orange,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,3.849257468143951e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,6.905694276714409e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
Kepler-1527 b,1.4697276509937132e+27,Yellow-white,CANDIDATE,CONFIRMED
